time encoder potentiometer
0 0 128
0.01 0 128
0.02 0 128
0.03 0 128
0.04 0 128
0.05 0 128
0.06 0 128
0.07 0 128
0.08 0 128
0.09 0 128
0.1 0 128
0.11 0 128
0.12 0 128
0.13 0 128
0.14 0 128
0.15 0 128
0.16 0 128
0.17 0 128
0.18 0 128
0.19 0 128
0.2 0 128
0.21 0 128
0.22 0 128
0.23 0 128
0.24 0 128
0.25 0 128
0.26 0 128
0.27 0 128
0.28 0 128
0.29 0 128
0.3 0 128
0.31 0 128
0.32 0 128
0.33 0 128
0.34 0 128
0.35 0 128
0.36 0 128
0.37 0 128
0.38 0 128
0.39 0 128
0.4 0 128
0.41 0 128
0.42 0 128
0.43 0 128
0.44 0 128
0.45 0 128
0.46 0 128
0.47 0 128
0.48 0 128
0.49 0 128
0.5 0 128
0.51 -16 142
0.52 -32 138
0.53 -48 137
0.54 -64 137
0.55 -80 134
0.56 -96 140
0.57 -112 135
0.58 -128 138
0.59 -144 135
0.6 -160 139
0.61 -176 138
0.62 -192 136
0.63 -208 140
0.64 -224 138
0.65 -240 134
0.66 -256 138
0.67 -272 139
0.68 -288 140
0.69 -304 140
0.7 -320 138
0.71 -336 132
0.72 -352 132
0.73 -368 136
0.74 -384 140
0.75 -400 141
0.76 -416 131
0.77 -432 137
0.78 -448 136
0.79 -464 134
0.8 -480 134
0.81 -496 135
0.82 -512 139
0.83 -528 135
0.84 -544 134
0.85 -560 137
0.86 -576 131
0.87 -592 132
0.88 -608 136
0.89 -624 136
0.9 -640 132
0.91 -656 138
0.92 -672 133
0.93 -688 139
0.94 -704 138
0.95 -720 140
0.96 -736 134
0.97 -752 137
0.98 -768 130
0.99 -784 134
1 -800 131
1.01 -816 133
1.02 -832 131
1.03 -848 134
1.04 -864 134
1.05 -880 131
1.06 -896 139
1.07 -912 133
1.08 -928 132
1.09 -944 131
1.1 -960 138
1.11 -976 138
1.12 -992 135
1.13 -1008 138
1.14 -1024 130
1.15 -1040 132
1.16 -1056 137
1.17 -1072 134
1.18 -1088 135
1.19 -1104 136
1.2 -1120 130
1.21 -1136 132
1.22 -1152 131
1.23 -1168 129
1.24 -1184 136
1.25 -1200 133
1.26 -1216 129
1.27 -1232 136
1.28 -1248 134
1.29 -1264 133
1.3 -1280 131
1.31 -1296 130
1.32 -1312 132
1.33 -1328 133
1.34 -1344 137
1.35 -1360 131
1.36 -1376 133
1.37 -1392 133
1.38 -1408 135
1.39 -1424 137
1.4 -1440 130
1.41 -1456 128
1.42 -1472 134
1.43 -1488 133
1.44 -1504 136
1.45 -1520 133
1.46 -1536 127
1.47 -1552 128
1.48 -1568 130
1.49 -1584 129
1.5 -1600 133
1.51 -1616 134
1.52 -1632 134
1.53 -1648 135
1.54 -1664 134
1.55 -1680 133
1.56 -1696 134
1.57 -1712 133
1.58 -1728 130
1.59 -1744 134
1.6 -1760 126
1.61 -1776 132
1.62 -1792 128
1.63 -1808 126
1.64 -1824 126
1.65 -1840 129
1.66 -1856 130
1.67 -1872 129
1.68 -1888 126
1.69 -1904 134
1.7 -1920 128
1.71 -1936 130
1.72 -1952 128
1.73 -1968 132
1.74 -1984 128
1.75 -2000 134
1.76 -2016 129
1.77 -2032 126
1.78 -2048 126
1.79 -2064 134
1.8 -2080 126
1.81 -2096 128
1.82 -2112 128
1.83 -2128 126
1.84 -2144 128
1.85 -2160 130
1.86 -2176 126
1.87 -2192 127
1.88 -2208 128
1.89 -2224 133
1.9 -2240 133
1.91 -2256 129
1.92 -2272 132
1.93 -2288 124
1.94 -2304 124
1.95 -2320 128
1.96 -2336 127
1.97 -2352 129
1.98 -2368 132
1.99 -2384 125
2 -2400 132
2.01 -2432 129
2.02 -2464 123
2.03 -2496 123
2.04 -2528 123
2.05 -2560 125
2.06 -2592 131
2.07 -2624 131
2.08 -2656 127
2.09 -2688 127
2.1 -2720 124
2.11 -2752 130
2.12 -2784 123
2.13 -2816 127
2.14 -2848 129
2.15 -2880 127
2.16 -2912 122
2.17 -2944 129
2.18 -2976 123
2.19 -3008 127
2.2 -3040 128
2.21 -3072 129
2.22 -3104 122
2.23 -3136 124
2.24 -3168 129
2.25 -3200 120
2.26 -3232 126
2.27 -3264 125
2.28 -3296 120
2.29 -3328 124
2.3 -3360 124
2.31 -3392 124
2.32 -3424 119
2.33 -3456 119
2.34 -3488 128
2.35 -3520 121
2.36 -3552 122
2.37 -3584 126
2.38 -3616 123
2.39 -3648 118
2.4 -3680 123
2.41 -3712 120
2.42 -3744 121
2.43 -3776 121
2.44 -3808 120
2.45 -3840 124
2.46 -3872 125
2.47 -3904 124
2.48 -3936 123
2.49 -3968 125
2.5 -4000 124
