time encoder potentiometer
0 0 128
0.01 0 128
0.02 0 128
0.03 0 128
0.04 0 128
0.05 0 128
0.06 0 128
0.07 0 128
0.08 0 128
0.09 0 128
0.1 0 128
0.11 0 128
0.12 0 128
0.13 0 128
0.14 0 128
0.15 0 128
0.16 0 128
0.17 0 128
0.18 0 128
0.19 0 128
0.2 0 128
0.21 0 128
0.22 0 128
0.23 0 128
0.24 0 128
0.25 0 128
0.26 0 128
0.27 0 128
0.28 0 128
0.29 0 128
0.3 0 128
0.31 0 128
0.32 0 128
0.33 0 128
0.34 0 128
0.35 0 128
0.36 0 128
0.37 0 128
0.38 0 128
0.39 0 128
0.4 0 128
0.41 0 128
0.42 0 128
0.43 0 128
0.44 0 128
0.45 0 128
0.46 0 128
0.47 0 128
0.48 0 128
0.49 0 128
0.5 0 128
0.51 -16 128
0.52 -32 129
0.53 -48 126
0.54 -64 128
0.55 -80 132
0.56 -96 130
0.57 -112 123
0.58 -128 124
0.59 -144 124
0.6 -160 128
0.61 -176 130
0.62 -192 123
0.63 -208 123
0.64 -224 123
0.65 -240 123
0.66 -256 123
0.67 -272 128
0.68 -288 128
0.69 -304 127
0.7 -320 127
0.71 -336 132
0.72 -352 128
0.73 -368 121
0.74 -384 123
0.75 -400 131
0.76 -416 121
0.77 -432 128
0.78 -448 121
0.79 -464 123
0.8 -480 123
0.81 -496 125
0.82 -512 124
0.83 -528 124
0.84 -544 129
0.85 -560 126
0.86 -576 130
0.87 -592 125
0.88 -608 123
0.89 -624 129
0.9 -640 128
0.91 -656 123
0.92 -672 126
0.93 -688 128
0.94 -704 124
0.95 -720 127
0.96 -736 129
0.97 -752 125
0.98 -768 126
0.99 -784 129
1 -800 129
1.01 -816 123
1.02 -832 123
1.03 -848 128
1.04 -864 126
1.05 -880 123
1.06 -896 127
1.07 -912 128
1.08 -928 129
1.09 -944 121
1.1 -960 126
1.11 -976 128
1.12 -992 127
1.13 -1008 123
1.14 -1024 122
1.15 -1040 119
1.16 -1056 127
1.17 -1072 125
1.18 -1088 127
1.19 -1104 119
1.2 -1120 119
1.21 -1136 119
1.22 -1152 120
1.23 -1168 124
1.24 -1184 125
1.25 -1200 125
1.26 -1216 119
1.27 -1232 119
1.28 -1248 122
1.29 -1264 121
1.3 -1280 126
1.31 -1296 127
1.32 -1312 123
1.33 -1328 118
1.34 -1344 124
1.35 -1360 118
1.36 -1376 125
1.37 -1392 121
1.38 -1408 122
1.39 -1424 119
1.4 -1440 123
1.41 -1456 125
1.42 -1472 118
1.43 -1488 124
1.44 -1504 126
1.45 -1520 124
1.46 -1536 118
1.47 -1552 124
1.48 -1568 119
1.49 -1584 121
1.5 -1600 119
1.51 -1616 123
1.52 -1632 125
1.53 -1648 121
1.54 -1664 122
1.55 -1680 122
1.56 -1696 124
1.57 -1712 119
1.58 -1728 118
1.59 -1744 121
1.6 -1760 122
1.61 -1776 121
1.62 -1792 125
1.63 -1808 119
1.64 -1824 125
1.65 -1840 125
1.66 -1856 124
1.67 -1872 118
1.68 -1888 118
1.69 -1904 117
1.7 -1920 120
1.71 -1936 118
1.72 -1952 123
1.73 -1968 115
1.74 -1984 118
1.75 -2000 118
1.76 -2016 122
1.77 -2032 122
1.78 -2048 124
1.79 -2064 118
1.8 -2080 120
1.81 -2096 121
1.82 -2112 121
1.83 -2128 116
1.84 -2144 123
1.85 -2160 120
1.86 -2176 118
1.87 -2192 121
1.88 -2208 122
1.89 -2224 119
1.9 -2240 123
1.91 -2256 120
1.92 -2272 123
1.93 -2288 115
1.94 -2304 118
1.95 -2320 121
1.96 -2336 114
1.97 -2352 115
1.98 -2368 123
1.99 -2384 115
2 -2400 119
2.01 -2432 120
2.02 -2464 122
2.03 -2496 121
2.04 -2528 115
2.05 -2560 117
2.06 -2592 120
2.07 -2624 121
2.08 -2656 119
2.09 -2688 120
2.1 -2720 114
2.11 -2752 114
2.12 -2784 113
2.13 -2816 114
2.14 -2848 117
2.15 -2880 120
2.16 -2912 115
2.17 -2944 120
2.18 -2976 116
2.19 -3008 114
2.2 -3040 118
2.21 -3072 114
2.22 -3104 114
2.23 -3136 118
2.24 -3168 113
2.25 -3200 115
2.26 -3232 113
2.27 -3264 115
2.28 -3296 110
2.29 -3328 117
2.3 -3360 111
2.31 -3392 109
2.32 -3424 109
2.33 -3456 113
2.34 -3488 110
2.35 -3520 114
2.36 -3552 114
2.37 -3584 115
2.38 -3616 112
2.39 -3648 108
2.4 -3680 116
2.41 -3712 108
2.42 -3744 115
2.43 -3776 117
2.44 -3808 114
2.45 -3840 108
2.46 -3872 107
2.47 -3904 107
2.48 -3936 109
2.49 -3968 109
2.5 -4000 108
